ceo_names,ceo_names,ceo_pctApprove,ceo_pctDisapprove,company_name,compensation_rating,culture_rating,overallRating,ratingDescription,recommendToFriendRating,seniorLeadershipRating,workLifeBalanceRating,Growth,Annual Rainfall,Annual Snowfall,Avg_Commute_work,HQ_City,HQ_State,population,crime_rate_per_1000,diversity
Warren Browner,Warren Browner,42,58,California Pacific Medical Center,3.2,3.1,3.1,OK,54,2.4,3.1,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Warner L. Baxter,Warner L. Baxter,93,7,Ameren,4.3,4.1,3.9,Satisfied,83,3.7,4,0.1191,42.2,17,18.1,Saint Louis,Missouri,#N/A,#N/A,#N/A
Walter White,Walter White,95,5,Allianz Life,4,4.3,4.2,Very Satisfied,92,4,4.1,,27.3,54,26.4,Golden Valley,Minnesota,21454,40.62302734,#N/A
Walt Bettinger II,Walt Bettinger II,90,10,Charles Schwab,3.5,3.8,3.6,Satisfied,65,3.3,3.8,0.2694,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
W. Carl Whitmer,W. Carl Whitmer,38,62,IASIS Healthcare,2.4,2.2,2.3,Dissatisfied,31,2.1,2.7,,54.2,6.3,31.9,Franklin,Tennessee,74771,31.52480495,64.65
Vivek Shah,Vivek Shah,59,41,Ziff Davis,3,2.5,2.5,OK,43,2.6,3.4,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Virginia Rometty,Virginia Rometty,62,38,IBM,3.1,3.5,3.5,Satisfied,63,2.9,3.6,,41.8,123.8,36.5,Armonk,New York,#N/A,#N/A,#N/A
Virginia Rometty,Virginia Rometty,62,38,IBM,3.1,3.5,3.5,Satisfied,63,2.9,3.6,,41.8,123.8,,Armonk,New York,#N/A,#N/A,#N/A
Vinnie Milano,Vinnie Milano,100,0,ViroPharma,4.3,4.5,4.2,Very Satisfied,86,4.2,4.4,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Vincent Roche,Vincent Roche,88,12,Analog Devices,3.5,3.8,3.8,Satisfied,81,3.4,3.9,0.1768,47.7,43.8,19.8,Boston,Massachusetts,673880,50.16048798,68.96
Vincent L. Sadusky,Vincent L. Sadusky,64,36,Media General,2.9,3,3,OK,31,3,3.1,,44.3,10.3,24.6,Richmond,Virginia,#N/A,#N/A,68.57
Victoria Holt,Victoria Holt,98,2,Proto Labs,4.2,4.5,4.4,Very Satisfied,84,4.3,4.5,,27.3,54,33.7,Plymouth,Minnesota,76996,27.18915232,64.42
Victor Nichols,Victor Nichols,88,12,Valassis,3.3,3.4,3.3,OK,61,2.9,3.5,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Victor Luis,Victor Luis,88,12,Coach,3.7,3.7,3.7,Satisfied,72,3.2,3.2,0.1729,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Victor F. Ganzi,Victor F. Ganzi,100,0,PGA TOUR,3.5,3.9,3.8,Satisfied,70,3.1,3.7,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Vicki Hollub,Vicki Hollub,93,7,Occidental Petroleum,3.9,3.6,3.7,Satisfied,80,3.3,3.8,-0.2181,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Vern Steiner,Vern Steiner,100,0,State Compensation Insurance Fund,3.7,3,3.4,OK,65,3,3.6,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Vern Nagel,Vern Nagel,71,29,Acuity Brands,3.3,2.7,3.1,OK,52,2.7,2.6,-0.476,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Valentin Ramirez,Valentin Ramirez,0,100,Chicken of the Sea,2.8,3.3,3.1,OK,51,2.8,2.9,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Travis Arnold,Travis Arnold,67,33,Feed the Children,3,3.5,3.4,OK,57,2.7,3,,36.5,7.8,13.2,Oklahoma City,Oklahoma,641681,86.00019059,65.01
Tracy Gardner,Tracy Gardner,29,71,dELiA*s,2.5,2.7,2.9,OK,29,2.6,2.8,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Tony Spring,Tony Spring,62,38,Bloomingdale's,2.8,3,3,OK,49,2.5,2.9,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Tom Nies,Tom Nies,38,62,Cincom,2.7,3,2.8,OK,36,2.4,4,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Tom Linebarger,Tom Linebarger,88,12,Cummins,3.6,4.1,3.8,Satisfied,79,3.4,3.9,0.1858,41.7,25.9,32.1,Columbus,Indiana,47222,84.78531529,#N/A
Tom Langan,Tom Langan,96,4,Practice Fusion,3.9,4.5,4,Satisfied,70,3.5,4.1,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Tom Kingsbury,Tom Kingsbury,73,27,Burlington Stores,2.6,3.1,3.1,OK,50,2.8,3,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Tom Gruber,Tom Gruber,86,14,CareStar,3,3.6,3.3,OK,58,3.1,3.2,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Tom Gallagher,Tom Gallagher,68,32,Genuine Parts,3.4,2.6,3,OK,35,2.4,2.9,-0.2257,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Tom Crowley Jr.,Tom Crowley Jr.,92,8,Crowley Maritime,4,3.8,3.7,Satisfied,72,3.2,3.6,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Tom Chubb,Tom Chubb,0,0,Oxford Industries,2.7,3.1,2.9,OK,56,2.6,3.2,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Todd Vasos,Todd Vasos,49,51,Dollar General,2.6,2.6,2.8,OK,39,2.4,2.4,-0.2308,54.2,6.3,25.7,Goodlettsville,Tennessee,23358,48.76174313,#N/A
Todd Penegor,Todd Penegor,84,16,Wendy's,2.5,3.1,3.1,OK,49,2.8,2.9,,47.1,16.5,24.7,Elmwood Park,New Jersey,20348,36.25231373,#N/A
Todd Nightingale,Todd Nightingale,88,12,Meraki,3.6,4.1,3.7,Satisfied,69,3.8,3.9,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Todd Mohr,Todd Mohr,81,19,Aerotek,3.1,3.3,3.3,OK,63,3,2.7,,44.5,20.2,33.2,Hanover,Maryland,#N/A,#N/A,#N/A
Todd Larsen,Todd Larsen,80,20,Blurb,3.3,3.1,3.4,OK,56,3,4.1,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Todd Lane,Todd Lane,65,35,California Coast Credit Union,3.3,3.8,3.4,OK,69,3.4,3.7,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Todd Jones,Todd Jones,74,26,Publix,3.7,3.8,3.7,Satisfied,71,3.2,3.2,,54.5,0,,Lakeland,Florida,105766,100.8076308,#N/A
Todd G. Zimmerman,Todd G. Zimmerman,79,21,EmCare,3.3,3.1,3.2,OK,52,2.9,3.4,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Tod Carpenter,Tod Carpenter,49,51,Donaldson Company,3.1,3,3,OK,49,2.6,3.1,,27.3,54,21,Bloomington,Minnesota,87134,67.31655917,66.06
Timothy T. Yates,Timothy T. Yates,41,59,Monster Worldwide,3.2,3,3,OK,43,2.5,3.6,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Timothy J. Wilmott,Timothy J. Wilmott,72,28,Penn National Gaming,3.1,3.1,3,OK,50,2.9,2.7,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Timothy J. Sloan,Timothy J. Sloan,79,21,Wells Fargo,3.6,3.5,3.5,Satisfied,66,3.1,3.5,0.0778,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Timothy J. Sloan,Timothy J. Sloan,79,21,Wells Fargo,3.6,3.5,3.5,Satisfied,66,3.1,3.5,0.0778,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Timothy J. Donahue,Timothy J. Donahue,96,4,Crown Holdings,4.1,3.9,3.8,Satisfied,78,3.1,3.5,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Timothy E. Powers,Timothy E. Powers,89,11,Haynes and Boone,3.7,3.5,3.6,Satisfied,69,3.3,4,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Tim Whall,Tim Whall,67,33,ADT Security Services,3.1,2.8,2.9,OK,44,2.5,2.8,,54.5,0,,Boca Ranton,Florida,#N/A,#N/A,#N/A
Tim Wentworth,Tim Wentworth,72,28,Express Scripts,3.2,2.8,2.9,OK,47,2.7,2.8,-0.2527,39.1,27.5,32.1,Columbus,Ohio,862515,86.7275797,65.94
Tim Cook,Tim Cook,94,6,Apple,4.1,4.1,4,Satisfied,80,3.5,3.4,0.3131,22.2,0,24.2,Cupertino,California,60948,34.45636065,#N/A
Tim Armstrong,Tim Armstrong,77,23,AOL,3.8,3.8,3.6,Satisfied,65,3,4,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Thomas Weisel,Thomas Weisel,28,72,Thomas Weisel Partners,3.1,2.4,3.1,OK,54,2.4,3.1,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Thomas P. Cunningham,Thomas P. Cunningham,68,32,Anacomp,3.2,3.3,3.3,OK,62,3.2,3.2,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Thomas P. Burke,Thomas P. Burke,90,10,Rowan Companies,3.8,3.1,3.4,OK,54,2.8,3.4,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Thomas L. Ryan,Thomas L. Ryan,57,43,Service Corporation International,2.7,2.8,2.7,OK,38,2.4,2.7,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Thomas Keys,Thomas Keys,84,16,MetroPCS,2.9,3.2,3.4,OK,57,3,3.1,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Thomas J. Wilson II,Thomas J. Wilson II,75,25,Allstate,3.2,3.5,3.4,OK,61,3,3.5,0.2642,39.2,24.6,24,Chicago,Illinois,2725153,74.90659418,70.57
Thomas J. Moran,Thomas J. Moran,41,59,Mutual of America,2.8,2.6,2.4,Dissatisfied,26,2.3,3.1,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Thomas Greco,Thomas Greco,48,52,Advance Auto Parts,2.7,2.8,3,OK,46,2.5,2.7,-58.66,44.3,10.3,,Roanoke,Virginia,99978,88.9713765,66.45
Thomas E. Wolfe,Thomas E. Wolfe,43,57,Ziebart,3.2,3.3,3.4,OK,51,3.2,3.1,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Thomas Amato,Thomas Amato,75,25,TriMas,2.9,2.2,2.9,OK,36,2.1,2.5,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Thomas A. Kennedy,Thomas A. Kennedy,88,12,Raytheon,3.7,3.6,3.6,Satisfied,73,3.2,3.7,0.2069,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Thomas A. Fanning,Thomas A. Fanning,82,18,Southern Company,4,3.6,3.7,Satisfied,76,3.1,3.7,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Thomas A. Carter,Thomas A. Carter,0,100,ESI International,3,2.4,2.7,OK,30,2.5,3.5,,44.3,10.3,29.1,Arlington,Virginia,#N/A,#N/A,64.25
Thom S. Rainer,Thom S. Rainer,86,14,LifeWay Christian Resources,3.1,4.3,3.9,Satisfied,75,3.6,4,,54.2,6.3,21.7,Nashville,Tennessee,668685,85.0998294,68.23
Thad Hill,Thad Hill,43,57,Calpine,3.4,2.6,2.7,OK,39,2.4,2.7,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Terry R. West,Terry R. West,92,8,VyStar Credit Union,3.3,3.9,3.5,Satisfied,66,3.2,3.3,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Terry R. McCormack,Terry R. McCormack,29,71,Affinia Group,2.8,2.4,2.6,OK,7,2.3,3.3,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Terry L. Collins,Terry L. Collins,100,0,Argon ST,3.5,2.8,3.1,OK,52,2.9,3.6,,44.3,10.3,25.1,Fairfax,Virginia,24173,36.09716971,#N/A
Terry K. Spencer,Terry K. Spencer,72,28,ONEOK,2.7,3.3,3,OK,53,3,3.2,0.1061,36.5,7.8,16.5,Tulsa,Oklahoma,405748,129.3807693,61.88
Teddy Gottwald,Teddy Gottwald,100,0,NewMarket Corporation,3.8,4.3,4.2,Very Satisfied,91,4.3,4.6,,44.3,10.3,24.6,Richmond,Virginia,#N/A,#N/A,68.57
Ted Mathas,Ted Mathas,87,13,New York Life,3.3,3.7,3.4,OK,59,3.4,3.5,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Taylor Safford,Taylor Safford,100,0,PIER 39,2.4,3.4,3.2,OK,61,3.1,3.5,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Talman Howard,Talman Howard,43,57,Brightway Insurance,3,3.1,3.1,OK,52,3.1,3.2,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Tad Smith,Tad Smith,51,49,Sotheby's,2.5,2.9,2.9,OK,57,2.6,3.1,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
T. Andrew Smith,T. Andrew Smith,45,55,Brookdale Senior Living,2.6,2.7,2.7,OK,40,2.3,2.6,,54.2,6.3,26.6,Brentwood,Tennessee,700313,116.0652774,#N/A
T. Andrew Smith,T. Andrew Smith,40,60,Emeritus Senior Living,2.6,2.9,2.7,OK,37,2.4,2.7,,38.4,5,20.1,Seattle,Washington,42739,19.62488059,65.65
Suzanne Greco,Suzanne Greco,66,34,Subway,2.3,3,3.2,OK,55,2.7,3.1,,50.3,40.5,27.8,Milford,Connecticut,53752,46.70473079,#N/A
Sutton McGehee,Sutton McGehee,95,5,Mac Papers,3.4,3.4,3.6,Satisfied,59,3.4,3.8,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Susan Story,Susan Story,78,22,American Water,3.6,3,3.2,OK,54,2.7,3.1,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Sundar Pichai,Sundar Pichai,96,4,Google,4.4,4.4,4.4,Very Satisfied,91,3.9,4.1,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Sumner M. Redstone,Sumner M. Redstone,20,80,National Amusements,2.1,2.6,3,OK,45,2.5,2.8,,47.7,43.8,19.8,Boston,Massachusetts,673880,50.16048798,68.96
Sue Steen,Sue Steen,64,36,Servpro Industries,2.4,2.6,2.8,OK,35,2.4,2.5,,54.2,6.3,26,Gallatin,Tennessee,35154,30.62591697,#N/A
Stuart Udell,Stuart Udell,64,36,K12,2.8,2.9,3,OK,49,2.8,3,,44.3,10.3,28.7,Herndon,Virginia,24806,34.17843598,#N/A
Stuart J. B. Bradie,Stuart J. B. Bradie,45,55,KBR,3.2,3.1,3.2,OK,53,2.7,3.3,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Stewart Butterfield,Stewart Butterfield,99,1,Slack,4.6,4.8,4.8,Very Satisfied,94,4.7,4.7,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Steven S. Sintros,Steven S. Sintros,90,10,UniFirst,3.8,3.8,3.7,Satisfied,68,3.7,3.6,,47.7,43.8,19.8,Boston,Massachusetts,673880,50.16048798,68.96
Steven Price,Steven Price,34,66,Townsquare Media,2.3,2.5,2.5,OK,34,2.3,2.5,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Steven M. Newman,Steven M. Newman,21,79,Loehmann's,2.5,2.3,2.4,Dissatisfied,27,2.1,2.8,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Steven L. Mueller,Steven L. Mueller,43,57,Southwestern Energy,4.3,4.1,4,Satisfied,86,3.1,4.2,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Steven H. Davis,Steven H. Davis,9,91,Dewey & LeBoeuf,3.4,2.8,3.1,OK,29,2.4,2.7,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Steven Demetriou,Steven Demetriou,79,21,Jacobs,3.1,3.3,3.3,OK,64,2.9,3.5,25.82,28.9,1.5,,Dallas,Texas,1320939,75.68422564,71.25
Steven Cahillane,Steven Cahillane,55,45,Kellogg Company,3.7,3.2,3.3,OK,48,2.8,3.1,-0.2139,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Steven C. Voorhees,Steven C. Voorhees,74,26,Rock-Tenn,2.9,2.6,2.6,OK,42,2.2,2.1,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Steven Becker,Steven Becker,43,57,Tuesday Morning,1.9,2.4,2.7,OK,34,2.3,2.6,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Steven B. Shiffman,Steven B. Shiffman,80,20,Calvin Klein,2.9,3.3,3.1,OK,59,2.8,3,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Steven A. Powless,Steven A. Powless,85,15,Computer Services,3.4,3.7,3.6,Satisfied,64,3.4,3.7,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Steven A. Kandarian,Steven A. Kandarian,70,30,MetLife,3.5,3.3,3.3,OK,56,2.8,3.5,0.1506,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Steve Woelfel,Steve Woelfel,100,0,Jefferson Lines,2.7,2.6,2.8,OK,33,3.7,3.1,,27.3,54,0,Minneapolis,Minnesota,416751,95.78049056,68.13
Steve Voorhees,Steve Voorhees,72,28,WestRock,3.3,2.8,2.9,OK,44,2.7,2.7,0.2003,44.3,10.3,24.6,Richmond,Virginia,#N/A,#N/A,68.57
Steve Temares,Steve Temares,41,59,Bed Bath & Beyond,2.8,3,3,OK,43,2.6,2.8,,47.1,16.5,,Union,New Jersey,#N/A,#N/A,#N/A
Steve Mollenkopf,Steve Mollenkopf,72,28,Qualcomm,3.7,3.5,3.7,Satisfied,71,3.1,3.4,-0.1705,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Steve McDougal,Steve McDougal,94,6,3Degrees,3.7,4.6,4,Satisfied,84,4.2,4.4,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Steve MacMillan,Steve MacMillan,26,74,Gen-Probe,3.4,3.2,3.4,OK,63,2.9,3.4,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Steve Lynn,Steve Lynn,100,0,Back Yard Burgers,2.2,4.6,4,Satisfied,84,4,3.3,,54.2,6.3,21.7,Nashville,Tennessee,668685,85.0998294,68.23
Steve King,Steve King,79,21,Dave & Buster's,3.1,3.6,3.4,OK,62,3.1,3.3,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Steve Kean,Steve Kean,76,24,Kinder Morgan,3.6,3.4,3.5,Satisfied,64,3,3.1,-0.1049,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Steve Huffman,Steve Huffman,79,21,Reddit,4.1,3.9,4.2,Very Satisfied,79,3.9,3.7,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Steve Fisher,Steve Fisher,85,15,Novelis,3.4,2.9,2.9,OK,57,2.8,3,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Steve Easterbrook,Steve Easterbrook,71,29,McDonald's,2.7,3,3.2,OK,55,2.8,3,37.78,39.2,24.6,,Oak Brook,Illinois,8130,156.791317,#N/A
Steve Dussek,Steve Dussek,33,67,NII Holdings,4.3,3.8,3.5,Satisfied,31,2.8,3.8,,44.3,10.3,27.2,Reston,Virginia,#N/A,#N/A,#N/A
Steve Davis,Steve Davis,74,26,PATH,3.2,3.6,3.5,Satisfied,75,3,3.6,,38.4,5,20.1,Seattle,Washington,700313,116.0652774,65.65
Steve Collis,Steve Collis,71,29,AmerisourceBergen,3.5,3,3.1,OK,51,2.6,3,-0.1111,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Steve Cavanaugh,Steve Cavanaugh,63,37,HCR ManorCare,2.7,2.9,3,OK,45,2.7,2.8,,39.1,27.5,,toledo,ohio,#N/A,#N/A,62.07
Steve Ballmer,Steve Ballmer,34,66,343 Industries,3.7,3.2,3.9,Satisfied,62,2.9,3.4,,38.4,5,13.6,Redmond,Washington,61893,64.95470613,#N/A
Steve  Ells,Steve  Ells,81,19,Chipotle,3.5,3.8,3.5,Satisfied,61,3,3,-0.2173,15.9,19.1,28.8,Denver,Colorado,699259,78.48871641,69.21
Stephen Spengler,Stephen Spengler,79,21,Intelsat,3.6,3.5,3.6,Satisfied,70,3.3,3.1,,44.3,10.3,12.7,McLean,Virginia,#N/A,#N/A,#N/A
Stephen P. Murray,Stephen P. Murray,37,63,CCMP Capital,3.5,3.3,3.5,Satisfied,52,2.8,3.1,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Stephen E. Lewis,Stephen E. Lewis,88,12,Troutman Sanders,3.6,3.7,3.5,Satisfied,63,3.2,3.5,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Stephen B. Burke,Stephen B. Burke,95,5,NBCUniversal,3.6,4,3.8,Satisfied,78,3.5,3.6,,41.8,123.8,,New York City,New York,8566917,34.98583157,#N/A
Stephen A. Feinberg,Stephen A. Feinberg,68,32,Cerberus Capital Management,3.9,3.7,3.2,OK,58,3.4,3.1,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Stefano Pessina,Stefano Pessina,46,54,Walgreens,3.1,3.1,3.1,OK,50,2.8,2.9,-0.0322,39.2,24.6,24,Chicago,Illinois,2725153,74.90659418,70.57
Stanley Sheridan,Stanley Sheridan,66,34,Faygo,3.1,3,3.4,OK,75,2.6,3.3,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Spencer Rascoff,Spencer Rascoff,84,16,Trulia,4.1,4,3.9,Satisfied,69,3.7,4.2,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Spencer Rascoff,Spencer Rascoff,100,0,dotloop,4.3,4.7,4.4,Very Satisfied,87,4.4,4.3,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Spencer R. Berthelsen,Spencer R. Berthelsen,69,31,Kelsey-Seybold Clinic,3.7,3.7,3.6,Satisfied,75,3.5,3.5,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Sonia Cheng,Sonia Cheng,94,6,Rosewood Hotels & Resorts,3.5,4,4.2,Very Satisfied,85,3.6,3.4,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Smith Holland,Smith Holland,60,40,Crayola,3.4,3.8,3.2,OK,62,2.8,3.6,,42.2,17,0,Kansas City,Missouri,478364,103.9359789,65.35
Simon Bolton,Simon Bolton,18,82,Fitch,2.5,2.7,2.3,Dissatisfied,13,2.2,2.8,,39.2,24.6,24,Chicago,Illinois,2725153,74.90659418,70.57
Shira  Goodman,Shira  Goodman,68,32,Staples,2.9,3.2,3.2,OK,53,2.8,3.4,0.0937,47.7,43.8,19.8,Boston,Massachusetts,673880,50.16048798,68.96
Sherry McCoy,Sherry McCoy,37,63,Avon Products,3.2,3.3,3.1,OK,49,2.6,3.2,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Shawn Morin,Shawn Morin,97,3,Ingram Content Group,3.8,3.8,3.9,Satisfied,77,3.6,3.8,,54.2,6.3,29.7,La Vergne,Tennessee,35228,44.94599949,#N/A
Shani Higgins,Shani Higgins,27,73,Technorati,2.4,2.3,2.1,Dissatisfied,15,1.6,2.7,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Seth Besmertnik,Seth Besmertnik,99,1,Conductor,4.3,4.8,4.6,Very Satisfied,88,4.6,4.4,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Seth Bernstein,Seth Bernstein,100,0,AllianceBernstein,3.1,3.5,3.4,OK,57,3.2,3.5,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Sergio P. Ermotti,Sergio P. Ermotti,85,15,UBS,3.4,3.5,3.6,Satisfied,67,3.2,3.5,,54.2,6.3,21.7,Nashville,Tennessee,668685,85.0998294,68.23
Sean Trauschke,Sean Trauschke,56,44,OGE Energy,3.4,2.9,2.7,OK,52,2.4,3.2,,36.5,7.8,13.2,Oklahoma City,Oklahoma,641681,86.00019059,65.01
Sean Combs,Sean Combs,71,29,Sean John,2.4,2.1,3,OK,47,2.3,2.7,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Scott Salmirs,Scott Salmirs,60,40,ABM Industries,2.7,2.6,2.8,OK,43,2.5,2.8,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Scott Roessler,Scott Roessler,0,100,NEWSCYCLE Solutions,2.6,2.8,2.7,OK,29,2.8,3.1,,27.3,54,21,Bloomington,Minnesota,87134,67.31655917,66.06
Scott P. Anderson,Scott P. Anderson,64,36,Patterson Companies,2.9,2.8,2.8,OK,44,2.6,3.7,-0.2104,27.3,54,0,Minneapolis,Minnesota,416751,95.78049056,68.13
